threshold,accuracy,f1,precision,recall
0.4,0.8225377107364685,0.7876857749469215,0.8189845474613686,0.7586912065439673
0.405,0.8234250221827861,0.7885228480340064,0.8207964601769911,0.7586912065439673
0.41,0.8243123336291038,0.7893617021276595,0.8226164079822617,0.7586912065439673
0.415,0.8243123336291038,0.7893617021276595,0.8226164079822617,0.7586912065439673
0.42,0.8251996450754214,0.7902023429179978,0.8244444444444444,0.7586912065439673
0.425,0.8251996450754214,0.7897545357524013,0.8258928571428571,0.7566462167689162
0.43,0.8260869565217391,0.7905982905982906,0.8277404921700223,0.7566462167689162
0.435,0.8251996450754214,0.7893048128342246,0.827354260089686,0.754601226993865
0.44,0.8251996450754214,0.7893048128342246,0.827354260089686,0.754601226993865
0.445,0.8251996450754214,0.7893048128342246,0.827354260089686,0.754601226993865
0.45,0.8260869565217391,0.7901498929336188,0.8292134831460675,0.754601226993865
0.455,0.8260869565217391,0.7901498929336188,0.8292134831460675,0.754601226993865
0.46,0.8243123336291038,0.7875536480686696,0.8284424379232506,0.7505112474437627
0.465,0.8251996450754214,0.7883995703544576,0.830316742081448,0.7505112474437627
0.47,0.8251996450754214,0.7883995703544576,0.830316742081448,0.7505112474437627
0.475,0.8243123336291038,0.7870967741935484,0.8299319727891157,0.7484662576687117
0.48,0.8251996450754214,0.7879440258342304,0.8318181818181818,0.7484662576687117
0.485,0.8251996450754214,0.7879440258342304,0.8318181818181818,0.7484662576687117
0.49,0.8260869565217391,0.7883369330453563,0.8352402745995423,0.7464212678936605
0.495,0.8260869565217391,0.7878787878787878,0.8367816091954023,0.7443762781186094
0.5,0.8269742679680568,0.7887323943661971,0.8387096774193549,0.7443762781186094
0.505,0.8296362023070097,0.7913043478260869,0.8445475638051044,0.7443762781186094
0.51,0.8305235137533274,0.7921653971708379,0.8465116279069768,0.7443762781186094
0.515,0.831410825199645,0.7930283224400871,0.8484848484848485,0.7443762781186094
0.52,0.831410825199645,0.7930283224400871,0.8484848484848485,0.7443762781186094
0.525,0.8305235137533274,0.7917121046892039,0.8481308411214953,0.7423312883435583
0.53,0.8305235137533274,0.7917121046892039,0.8481308411214953,0.7423312883435583
0.535,0.8305235137533274,0.7917121046892039,0.8481308411214953,0.7423312883435583
0.54,0.831410825199645,0.7925764192139738,0.8501170960187353,0.7423312883435583
0.545,0.8322981366459627,0.7929901423877328,0.8537735849056604,0.7402862985685071
0.55,0.831410825199645,0.7912087912087912,0.8551068883610451,0.7361963190184049
0.555,0.831410825199645,0.7907488986784141,0.8568019093078759,0.7341513292433538
