threshold,accuracy,f1,precision,recall
0.4,0.8198757763975155,0.7869884575026233,0.8081896551724138,0.7668711656441718
0.405,0.8207630878438332,0.7878151260504201,0.8099352051835853,0.7668711656441718
0.41,0.8198757763975155,0.786540483701367,0.8095238095238095,0.7648261758691206
0.415,0.8216503992901508,0.7881981032665965,0.8130434782608695,0.7648261758691206
0.42,0.8225377107364685,0.7890295358649789,0.8148148148148148,0.7648261758691206
0.425,0.8234250221827861,0.7898627243928195,0.8165938864628821,0.7648261758691206
0.43,0.8260869565217391,0.7923728813559322,0.8219780219780219,0.7648261758691206
0.435,0.8260869565217391,0.7923728813559322,0.8219780219780219,0.7648261758691206
0.44,0.8260869565217391,0.7923728813559322,0.8219780219780219,0.7648261758691206
0.445,0.8296362023070097,0.7957446808510639,0.8292682926829268,0.7648261758691206
0.45,0.8287488908606921,0.7944621938232161,0.8288888888888889,0.7627811860940695
0.455,0.8305235137533274,0.7961579509071505,0.8325892857142857,0.7627811860940695
0.46,0.8305235137533274,0.7961579509071505,0.8325892857142857,0.7627811860940695
0.465,0.8305235137533274,0.7961579509071505,0.8325892857142857,0.7627811860940695
0.47,0.8305235137533274,0.7957219251336899,0.8340807174887892,0.7607361963190185
0.475,0.8305235137533274,0.7957219251336899,0.8340807174887892,0.7607361963190185
0.48,0.8296362023070097,0.7944325481798715,0.8337078651685393,0.7586912065439673
0.485,0.8287488908606921,0.7931404072883173,0.8333333333333334,0.7566462167689162
0.49,0.8296362023070097,0.7939914163090128,0.835214446952596,0.7566462167689162
0.495,0.8305235137533274,0.7948442534908701,0.8371040723981901,0.7566462167689162
0.5,0.8358473824312334,0.8,0.8486238532110092,0.7566462167689162
0.505,0.8349600709849158,0.7987012987012987,0.8482758620689655,0.754601226993865
0.51,0.8331854480922803,0.7960954446854663,0.8475750577367206,0.7505112474437627
0.515,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.52,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.525,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.53,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.535,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.54,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.545,0.8322981366459627,0.7947882736156352,0.8472222222222222,0.7484662576687117
0.55,0.831410825199645,0.7934782608695652,0.8468677494199536,0.7464212678936605
0.555,0.831410825199645,0.7934782608695652,0.8468677494199536,0.7464212678936605
0.56,0.831410825199645,0.7934782608695652,0.8468677494199536,0.7464212678936605
0.565,0.8296362023070097,0.7908496732026143,0.8461538461538461,0.7423312883435583
0.57,0.8296362023070097,0.7908496732026143,0.8461538461538461,0.7423312883435583
0.575,0.8296362023070097,0.7908496732026143,0.8461538461538461,0.7423312883435583
0.58,0.8296362023070097,0.7908496732026143,0.8461538461538461,0.7423312883435583
0.585,0.8296362023070097,0.7908496732026143,0.8461538461538461,0.7423312883435583
0.59,0.8305235137533274,0.7917121046892039,0.8481308411214953,0.7423312883435583
0.595,0.831410825199645,0.7921225382932167,0.851764705882353,0.7402862985685071
0.6,0.831410825199645,0.7921225382932167,0.851764705882353,0.7402862985685071
0.605,0.831410825199645,0.7921225382932167,0.851764705882353,0.7402862985685071
0.61,0.831410825199645,0.7916666666666666,0.8534278959810875,0.7382413087934561
0.615,0.831410825199645,0.7912087912087912,0.8551068883610451,0.7361963190184049
0.62,0.831410825199645,0.7912087912087912,0.8551068883610451,0.7361963190184049
0.625,0.831410825199645,0.7912087912087912,0.8551068883610451,0.7361963190184049
0.63,0.8322981366459627,0.7920792079207921,0.8571428571428571,0.7361963190184049
0.635,0.831410825199645,0.7907488986784141,0.8568019093078759,0.7341513292433538
0.64,0.831410825199645,0.7907488986784141,0.8568019093078759,0.7341513292433538
0.645,0.8322981366459627,0.7916207276736494,0.8588516746411483,0.7341513292433538
0.65,0.8322981366459627,0.7916207276736494,0.8588516746411483,0.7341513292433538
0.655,0.831410825199645,0.7902869757174393,0.8585131894484412,0.7321063394683026
0.66,0.831410825199645,0.7902869757174393,0.8585131894484412,0.7321063394683026
0.665,0.8322981366459627,0.7911602209944751,0.8605769230769231,0.7321063394683026
0.67,0.8305235137533274,0.7884828349944629,0.8599033816425121,0.7280163599182005
0.675,0.8305235137533274,0.7884828349944629,0.8599033816425121,0.7280163599182005
0.68,0.8305235137533274,0.7884828349944629,0.8599033816425121,0.7280163599182005
0.685,0.831410825199645,0.7893569844789357,0.8619854721549637,0.7280163599182005
0.69,0.8322981366459627,0.7902330743618202,0.8640776699029126,0.7280163599182005
0.695,0.8322981366459627,0.7902330743618202,0.8640776699029126,0.7280163599182005
0.7,0.834072759538598,0.7919911012235817,0.8682926829268293,0.7280163599182005
0.705,0.834072759538598,0.7919911012235817,0.8682926829268293,0.7280163599182005
0.71,0.8331854480922803,0.7906458797327395,0.8679706601466992,0.7259713701431493
0.715,0.8322981366459627,0.7892976588628763,0.8676470588235294,0.7239263803680982
0.72,0.831410825199645,0.7879464285714286,0.8673218673218673,0.721881390593047
0.725,0.831410825199645,0.7879464285714286,0.8673218673218673,0.721881390593047
0.73,0.831410825199645,0.7879464285714286,0.8673218673218673,0.721881390593047
0.735,0.831410825199645,0.7874720357941835,0.8691358024691358,0.7198364008179959
0.74,0.831410825199645,0.7874720357941835,0.8691358024691358,0.7198364008179959
0.745,0.8305235137533274,0.786114221724524,0.8688118811881188,0.7177914110429447
0.75,0.831410825199645,0.7865168539325843,0.8728179551122195,0.7157464212678937
0.755,0.8305235137533274,0.7851518560179978,0.8725,0.7137014314928425
