threshold,accuracy,f1,precision,recall
0.4,0.7817213842058562,0.7564356435643564,0.7332053742802304,0.7811860940695297
0.405,0.7852706299911268,0.7584830339321357,0.7407407407407407,0.7770961145194274
0.41,0.782608695652174,0.7532729103726082,0.7420634920634921,0.7648261758691206
0.415,0.7843833185448092,0.7542972699696663,0.746,0.7627811860940695
0.42,0.7879325643300799,0.7568667344862665,0.7530364372469636,0.7607361963190185
0.425,0.7897071872227152,0.7574206755373593,0.7581967213114754,0.7566462167689162
0.43,0.7932564330079858,0.7600411946446962,0.7655601659751037,0.754601226993865
0.435,0.8012422360248447,0.7671517671517671,0.7801268498942917,0.754601226993865
0.44,0.7994676131322094,0.7626050420168067,0.7840172786177105,0.7423312883435583
0.445,0.7994676131322094,0.7616033755274262,0.7864923747276689,0.7382413087934561
0.45,0.7994676131322094,0.7600849256900213,0.7902869757174393,0.7321063394683026
0.455,0.7985803016858918,0.7582534611288605,0.7911111111111111,0.7280163599182005
0.46,0.8012422360248447,0.7601713062098501,0.797752808988764,0.7259713701431493
0.465,0.7985803016858918,0.7556512378902045,0.7977272727272727,0.7177914110429447
0.47,0.7968056787932565,0.7529665587918015,0.7968036529680366,0.7137014314928425
0.475,0.7985803016858918,0.7540628385698809,0.8018433179723502,0.7116564417177914
0.48,0.7959183673469388,0.7494553376906318,0.8018648018648019,0.7034764826175869
0.485,0.7959183673469388,0.7489082969432315,0.8032786885245902,0.7014314928425358
0.49,0.7985803016858918,0.7491712707182321,0.8149038461538461,0.6932515337423313
0.495,0.7959183673469388,0.7438752783964365,0.8166259168704156,0.6830265848670757
0.5,0.7932564330079858,0.7396648044692737,0.8152709359605911,0.6768916155419223
0.505,0.7950310559006211,0.7413213885778276,0.8193069306930693,0.6768916155419223
0.51,0.7941437444543035,0.7375565610859729,0.8253164556962025,0.6666666666666666
0.515,0.7950310559006211,0.7377979568671964,0.8290816326530612,0.6646216768916156
0.52,0.7941437444543035,0.7357630979498861,0.8303341902313625,0.6605316973415133
